idx,datetime,volume,askOpen,askHigh,askLow,askClose,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose
0,2015-01-01 22:00:00,190,1.55902,1.55973,1.55774,1.55834,1.55756,1.55833,1.55691,1.55755,1.55829,1.55873,1.55737,1.55794
1,2015-01-01 23:00:00,1292,1.55836,1.55868,1.55708,1.55815,1.55763,1.55814,1.55671,1.55778,1.55800,1.55836,1.55692,1.55796
2,2015-01-02 00:00:00,320,1.55813,1.55841,1.55643,1.55653,1.55772,1.55815,1.55609,1.55622,1.55792,1.55828,1.55628,1.55638
3,2015-01-02 01:00:00,575,1.55658,1.55704,1.55445,1.55544,1.55625,1.55665,1.55410,1.55523,1.55642,1.55682,1.55428,1.55534
4,2015-01-02 02:00:00,402,1.55548,1.55579,1.55432,1.55475,1.55526,1.55544,1.55403,1.55442,1.55537,1.55562,1.55418,1.55458
5,2015-01-02 03:00:00,322,1.55466,1.55590,1.55440,1.55568,1.55443,1.55555,1.55411,1.55538,1.55454,1.55572,1.55426,1.55553
6,2015-01-02 04:00:00,262,1.55571,1.55597,1.55425,1.55460,1.55542,1.55562,1.55406,1.55433,1.55556,1.55574,1.55418,1.55446
7,2015-01-02 05:00:00,136,1.55456,1.55493,1.55429,1.55487,1.55430,1.55462,1.55399,1.55460,1.55443,1.55477,1.55414,1.55474
8,2015-01-02 06:00:00,193,1.55487,1.55524,1.55430,1.55462,1.55460,1.55498,1.55401,1.55439,1.55474,1.55511,1.55418,1.55450
9,2015-01-02 07:00:00,730,1.55459,1.55486,1.55370,1.55404,1.55435,1.55463,1.55348,1.55384,1.55447,1.55474,1.55359,1.55394
10,2015-01-02 08:00:00,1531,1.55409,1.55491,1.55168,1.55320,1.55387,1.55467,1.55147,1.55294,1.55398,1.55479,1.55158,1.55307
11,2015-01-02 09:00:00,2060,1.55323,1.55387,1.54777,1.54805,1.55298,1.55363,1.54755,1.54785,1.55310,1.55375,1.54766,1.54795
12,2015-01-02 10:00:00,1388,1.54803,1.54816,1.54413,1.54461,1.54780,1.54796,1.54389,1.54437,1.54792,1.54806,1.54401,1.54449
13,2015-01-02 11:00:00,1063,1.54457,1.54546,1.54285,1.54397,1.54435,1.54527,1.54264,1.54378,1.54446,1.54536,1.54274,1.54388
14,2015-01-02 12:00:00,1087,1.54394,1.54440,1.54140,1.54274,1.54374,1.54421,1.54114,1.54256,1.54384,1.54430,1.54127,1.54265
15,2015-01-02 13:00:00,966,1.54274,1.54405,1.54145,1.54179,1.54249,1.54387,1.54126,1.54160,1.54262,1.54396,1.54136,1.54170
16,2015-01-02 14:00:00,1072,1.54176,1.54211,1.53904,1.53986,1.54156,1.54186,1.53884,1.53944,1.54166,1.54198,1.53894,1.53965
17,2015-01-02 15:00:00,1859,1.53991,1.54116,1.53875,1.53891,1.53946,1.54097,1.53857,1.53873,1.53968,1.54106,1.53866,1.53882
18,2015-01-02 16:00:00,1500,1.53895,1.53925,1.53576,1.53616,1.53876,1.53908,1.53556,1.53597,1.53886,1.53916,1.53566,1.53606
19,2015-01-02 17:00:00,678,1.53611,1.53648,1.53538,1.53599,1.53595,1.53629,1.53520,1.53579,1.53603,1.53638,1.53529,1.53589
20,2015-01-02 18:00:00,305,1.53596,1.53596,1.53532,1.53540,1.53575,1.53575,1.53514,1.53519,1.53586,1.53586,1.53523,1.53530
21,2015-01-02 19:00:00,528,1.53542,1.53562,1.53320,1.53367,1.53524,1.53542,1.53298,1.53347,1.53533,1.53552,1.53309,1.53357
22,2015-01-02 20:00:00,475,1.53363,1.53423,1.53288,1.53348,1.53345,1.53402,1.53268,1.53325,1.53354,1.53412,1.53278,1.53336
